State_Name,PC_NAME,CANDIDATES_NAME,Education,SEX,AGE,CATEGORY,PARTY_NAME,PARTY_SYMBOL,Political_History,Politican_Behavior,Work_Done,GENERAL _VOTES,POSTAL_VOTES,TOTAL_VOTES,OVERTOTALELECTORSINCONSTITUENCYVOTE %,OVERTOTALVOTESPOLLEDINCONSTITUENCYVOTE %,TotalElectorsVOTE %
Andhra Pradesh,Aruku,SHRUTI DEVI VYRICHERLA,Master's degree in Public Administration,FEMALE,46,ST,NIC,Mango,Former Member of Congress,Ethical and Principled,Education reform,17656,74,17730,1.221564015,1.644353967,1451418
Andhra Pradesh,Aruku,KISHORE ChandrakantRA DEO,Degree in History,MALE,72,ST,DPT,Bicycle,First-time candidate,Committed and dedicated,Public safety initiatives,336163,1938,338101,23.2945299,31.35689344,1451418
Andhra Pradesh,Aruku,GODDETI. MADHAVI,Law degree (Juris Doctor or LL.B.),FEMALE,26,ST,SRCPY,Ceiling Fan,Former Member of Board of Aldermen,Fair and just,International relations and diplomacy,557561,4629,562190,38.73384511,52.13983965,1451418
Andhra Pradesh,Aruku,SWAMULA. SUBRAHMANYAM,Medical degree (MD or MBBS),MALE,50,ST,PAJJG,Mike,Former Member of Legislative Assembly,Adaptable and flexible,Education reform,4705,5,4710,0.324510238,0.436824996,1451418
Andhra Pradesh,Aruku,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,Other relevant degrees or certifications,MALE,54,ST,JBP,Rose,Former Member of Congress,Innovative and forward-thinking,Healthcare improvement,17578,289,17867,1.23100306,1.657059917,1451418
Andhra Pradesh,Aruku,GANGULAIAH VAMPURU.,Degree in Economics,MALE,49,ST,PnJ,Glass Tumbler,Former Member of Legislative Assembly,Engaging and inspiring,Community development,42245,549,42794,2.948426987,3.968893609,1451418
Andhra Pradesh,Aruku,BIDDIKA RAMAYYA.,Medical degree (MD or MBBS),MALE,57,ST,DIN,Battery Torch,Former Member of City Council,Honest and trustworthy,Agricultural and rural development,7863,4,7867,0.542021664,0.729618311,1451418
Andhra Pradesh,Aruku,KANGALA BALUDORA,MBA (Master of Business Administration),MALE,61,ST,DIN,Cup & Saucer,Former Member of Legislative Assembly,Consistent and reliable,Environmental protection,13810,16,13826,0.952585678,1.282280764,1451418
Andhra Pradesh,Aruku,ANUMULA VAMSIKRISHNA,Degree in Environmental Science,MALE,41,ST,DIN,Helicopter,Other relevant political positions,Engaging and inspiring,Job creation initiatives,10211,29,10240,0.70551695,0.949700205,1451418
Andhra Pradesh,Aruku,NARAVA SATYAVATHI,Other relevant degrees or certifications,FEMALE,37,ST,DIN,Bangles,Former Member of School Board,Decisive and assertive,Agricultural and rural development,11231,5,11236,0.774139497,1.042073388,1451418
